*s jakou četností se liší slova s rozdílem jednoho písmena
*tabulka četností sestupně 
*typ vztahu	četnost v procentech
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'	64.37130289701199
*tato dvojice slov není nijak příbuzná	30.537438697608575
*rodičem v tomto vztahu je slovo obsahující 'z' místo 's' 	5.086202538045401
*tato dvojice slov je příbuzná, ale ne napřímo	0.005055867334041155
*
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'
*hrana	otec	syn
hrana	buržoasní	buržoazní
hrana	buržoasně	buržoazně
hrana	bushismus	bushizmus
hrana	busola	buzola
hrana	byrokratisace	byrokratizace
hrana	byrokratismus	byrokratizmus
hrana	byronismus	byronizmus
hrana	byzantinismus	byzantinizmus
hrana	byzantismus	byzantizmus
hrana	bábismus	bábizmus
hrana	báseň	bázeň
hrana	bönismus	bönizmus
hrana	caesaropapismus	caesaropapizmus
hrana	carismus	carizmus
hrana	castrismus	castrizmus
hrana	caudillismus	caudillizmus
hrana	celoresortní	celorezortní
hrana	celoresortně	celorezortně
hrana	censor	cenzor
hrana	censorka	cenzorka
hrana	censorčin	cenzorčin
hrana	censorův	cenzorův
hrana	censově	cenzově
hrana	censura	cenzura
hrana	censurní	cenzurní
hrana	censurně	cenzurně
hrana	censurovací	cenzurovací
hrana	censurovanost	cenzurovanost
hrana	censurovaný	cenzurovaný
hrana	censurovaně	cenzurovaně
hrana	censurovat	cenzurovat
hrana	censurovatelnost	cenzurovatelnost
hrana	censurovatelný	cenzurovatelný
hrana	censurovatelně	cenzurovatelně
hrana	censurovost	cenzurovost
hrana	censurování	cenzurování
hrana	censurovávací	cenzurovávací
hrana	censurovávající	cenzurovávající
hrana	censurovávanost	cenzurovávanost
hrana	censurovávaný	cenzurovávaný
hrana	censurovávaně	cenzurovávaně
hrana	censurovávat	cenzurovávat
hrana	censurovávatelnost	cenzurovávatelnost
hrana	censurovávatelný	cenzurovávatelný
hrana	censurovávatelně	cenzurovávatelně
hrana	censurovávání	cenzurovávání
hrana	censurový	cenzurový
hrana	censurově	cenzurově
hrana	censurující	cenzurující
hrana	census	cenzus
hrana	centesimální	centezimální
hrana	centralisace	centralizace
hrana	centralisační	centralizační
hrana	centralisačně	centralizačně
hrana	centralismus	centralizmus
hrana	centralisovací	centralizovací
hrana	centralisovanost	centralizovanost
hrana	centralisovaný	centralizovaný
hrana	centralisovaně	centralizovaně
hrana	centralisovat	centralizovat
