*opuštěná přídavná jména končící na 'ní'
*čtyři skupiny: častější možný předek než slovo, méně častý předek než slovo, dva možní předci, žádný předek nenalezen 
*chybí hrana	zkoumané slovo	nalezené slovo'
chybí hrana	zevnějšní
chybí hrana	zlatohorní
chybí hrana	zrcadelní
chybí hrana	zuboretní
chybí hrana	zádvorní
chybí hrana	záhumní
chybí hrana	západovýchodní
chybí hrana	zásklenní
chybí hrana	zátažní
chybí hrana	záuční
chybí hrana	zůstatní
chybí hrana	ústavněprávní
chybí hrana	ústavněsprávní
chybí hrana	územněsprávní
chybí hrana	černodivadelní
chybí hrana	černopáteční
chybí hrana	černostudniční
chybí hrana	čtrnáctidenní
chybí hrana	čtvrtní
chybí hrana	čtvrtodenní
chybí hrana	čtyrapůltýdenní
chybí hrana	čtyrdenní
chybí hrana	čtyrnedělní
chybí hrana	čtyrnárodní
chybí hrana	čtyrrychlostní
chybí hrana	čtyrtřídní
chybí hrana	čtyrvěderní
chybí hrana	čtyřapůlpodlažní
chybí hrana	čtyřdivizní
chybí hrana	čtyřiadvacetidenní
chybí hrana	čtyřiadvacetiměsíční
chybí hrana	čtyřiadvacetipodlažní
chybí hrana	čtyřiadvacetitýdenní
chybí hrana	čtyřiačtyřicetidenní
chybí hrana	čtyřicetidenní
chybí hrana	čtyřicetidvouměsíční
chybí hrana	čtyřicetipodlažní
chybí hrana	čtyřlodní
chybí hrana	čtyřnožní
chybí hrana	čtyřpodlažní
chybí hrana	čtyřstěžní
chybí hrana	čtyřtýdenní
chybí hrana	čtyřvečerní
chybí hrana	řeckovýchodní
chybí hrana	šedesátidenní
chybí hrana	šedesátipodlažní
chybí hrana	šestiapůlměsíční
chybí hrana	šestiliberní
chybí hrana	šestiloketní
chybí hrana	šestimuzejní
chybí hrana	šestipodlažní
chybí hrana	šestitýdenní
chybí hrana	šestitřídní
chybí hrana	šestnáctipodlažní
chybí hrana	šestnáctitýdenní
chybí hrana	šestnáctitřídní
chybí hrana	šikmolícní
chybí hrana	širokopatní
chybí hrana	štědrodenní
chybí hrana	štědrovečerní
chybí hrana	švestkobraní
chybí hrana	ženiální
chybí hrana	živnostenskoprávní
